name,tags
'otome yokai zakuro','maiden spirit zakuro'
'otome yokai zakuro','historical'
'otome yokai zakuro','comedy'
'otome yokai zakuro','romance'
'otome yokai zakuro','lily hoshino'
'otome yokai zakuro','zakuro'
'ebiten','Kadokawa Pictures Inc.'
'phantom thief reinya','Kadokawa Pictures Inc.'
'phantom thief reinya','anime'
'phantom thief reinya','phantom thief reinya'
'phantom thief reinya','kaito reinya'
'phantom thief reinya','comedy'
'phantom thief reinya','kaitou reinya'
'phantom thief reinya','reina tanaka'
'phantom thief reinya','morning musume'
'phantom thief reinya','hello project'
'phantom thief reinya','kadokawa shoten'
'battle girls time paradox','TV TOKYO'
'battle girls time paradox','historical'
'battle girls time paradox','samurai'
'battle girls time paradox','time travel'
'battle girls time paradox','science fiction'
'battle girls time paradox','battle girls time paradox'
'battle girls time paradox','anime'
'battle girls time paradox','momoiro paradox'
'battle girls time paradox','sengoku otome'
'battle girls time paradox','crunchyroll battle girls'
'your lie in april','Aniplex of America'
'your lie in april','shigatsu wa kimi no uso'
'your lie in april','shigatsu'
'your lie in april','4gatsu'
'nekomonogatari black','Aniplex of America'
